Position,Business Title,Location,Description,Asking Price,Cash Flow,Listing URL,Image,P/E Ratio
73,Profitable Auto Parts Importer and Distributor,Toronto ON,"An exciting opportunity is available to acquire a highly profitable auto parts distributor based in Toronto, Ontario. With an established track-record, this reputable business is a significant player...",2000000,740000,https://www.bizbuysell.com/Business-Opportunity/profitable-auto-parts-importer-and-distributor/2284966/,https://images.bizbuysell.com/shared/listings/228/2284966/2b5a511b-4d47-42b5-89bc-9356c5d734ce-W336.jpg,2.7
74,20+ Years Old Street Cleaning Business,Ontario,"With over two decades dedicated to keeping cities clean and safe, this street cleaning business offers comprehensive services including street sweeping, flushing, snow ploughing, and salting. Catering...",550000,293000,https://www.bizbuysell.com/Business-Opportunity/20-years-old-street-cleaning-business/2284791/,https://images.bizbuysell.com/shared/listings/228/2284791/49c8f3db-db38-4007-895f-78db7c2e439f-W336.jpg,1.9
75,Established Pharmacy Franchise for Sale - Own Health and Wealth!,,"$1,100,000",,,https://www.bizbuysell.com/Business-Opportunity/established-pharmacy-franchise-for-sale-own-health-and-wealth/2257646/,https://images.bizbuysell.com/shared/listings/225/2257646/877dd4df-637b-4618-b40b-c19731c66397-W336.jpg,
76,Trendy Resale Apparel Outlet in High-Traffic Area,Ontario,"Explore a profitable venture in the thriving fashion resale industry with this well-established franchise. Specializing in offering branded, gently-used apparel and accessories at affordable prices,...",375000,160000,https://www.bizbuysell.com/Business-Opportunity/trendy-resale-apparel-outlet-in-high-traffic-area/2284784/,https://images.bizbuysell.com/shared/listings/228/2284784/8c44e732-2d77-4a91-a2d1-d38cadc02156-W336.jpg,2.3
77,Successful Wholesale Poultry Distribution Business,Toronto ON,Explore the opportunity to acquire a highly profitable meat wholesaler and distributor with over 20 years of excellence in the industry. This owner-operated business has established itself as a leader...,800000,436000,https://www.bizbuysell.com/Business-Opportunity/successful-wholesale-poultry-distribution-business/2284507/,https://images.bizbuysell.com/shared/listings/228/2284507/1cf22430-2cf0-49db-89a8-e0a1d388c078-W336.jpg,1.8
79,Recruitment Services Agency | $4.6M 2024F Revenue,Ontario,"This Company provides employment, staffing services, and human resources consulting. The Recruitment Services Agency is located in Central Canada. The Company understands and addresses the clients’...",700000,700000,https://www.bizbuysell.com/Business-Opportunity/recruitment-services-agency-4-6m-2024f-revenue/2283685/,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/servicestaffing.jpg,1.0
80,Prime Furniture Supplier Business for Sale,Aurora ON,"An exceptional opportunity awaits to own a well-established furniture supplier business with a solid reputation and loyal customer base. This business has been successfully operating for 4 years,...",150000,,https://www.bizbuysell.com/Business-Opportunity/prime-furniture-supplier-business-for-sale/2283368/,https://images.bizbuysell.com/shared/listings/228/2283368/1c941d4e-6b76-475a-ab53-7d9f5ce6b427-W336.jpg,
81,Apparel Manufacturer And Distributor | $4.6m 2024 Revenue,Ontario,"The Apparel Manufacturer & Distributor is located in Central Canada. The company manufactures premium-quality basic apparel such as t-shirts, polos, and sweatsuits. The company has a diversified...",,,https://www.bizbuysell.com/Business-Opportunity/apparel-manufacturer-and-distributor-4-6m-2024-revenue/2282854/,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/manufabric.jpg,
82,Turn-Key Medical Spa in Prime Downtown Toronto,Toronto ON,"Well-established, fully operational medical spa in the heart of downtown Toronto! This turn-key** opportunity is ideal for a buyer looking to step into a thriving business with immediate thriving...",450000,,https://www.bizbuysell.com/Business-Opportunity/turn-key-medical-spa-in-prime-downtown-toronto/2282223/,https://images.bizbuysell.com/shared/listings/228/2282223/ebec245b-eaff-4e14-afef-945926e6a797-W336.jpg,
83,2 Year Wait List - Occupational Therapy Business For Sale,Southern Ontario ON,Pre approved for conditional financing. We help buyers seek financing with a minimum of 10% cash required. This Thriving Pediatric Occupational Therapy Clinic has an over 2 year wait list which can be...,349000,95000,https://www.bizbuysell.com/Business-Opportunity/2-year-wait-list-occupational-therapy-business-for-sale/2282214/,https://images.bizbuysell.com/shared/listings/228/2282214/328749d3-8fcd-4005-b57c-7d24bac1eb90-W336.jpg,3.7
84,Mathnasium,Available in Canada,"Change lives through math, including your own - no educator experience required. We're top-in-category for franchisee satisfaction.",112000,,https://www.bizbuysell.com/franchise-for-sale/mathnasium/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/237/237/1f7e1a0b-f6e7-473e-8dda-9717bd0f4a27.gif,
85,Profitable Residential HVAC Company in Southwest Ontario,Confidential ON,"Project Comfort installs, maintains, and repairs heating, ventilation, and air conditioning systems to ensure a comfortable residential living environment year-round. They are the largest residential...",3500000,800000,https://www.bizbuysell.com/Business-Opportunity/profitable-residential-hvac-company-in-southwest-ontario/2280357/,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/buildinghvac.jpg,4.4
86,40 years old C- Store for sale for only 500k,Hamilton ON,"This 2,380 sq. ft. business operates 24 hours a day with a favorable lease of only $7,000 per month, including everything, and 4+5 years remaining. Utilities run between $1,200 and $1,500 monthly....",489000,179000,https://www.bizbuysell.com/Business-Opportunity/40-years-old-c-store-for-sale-for-only-500k/2280131/,https://images.bizbuysell.com/shared/listings/228/2280131/1ded0162-b758-4064-adc0-f40588cc5221-W336.png,2.7
87,Premium Men's Barbershop & Lifestyle Brand,,"$580,000",,,https://www.bizbuysell.com/Business-Opportunity/premium-mens-barbershop-and-lifestyle-brand/2245831/,https://images.bizbuysell.com/shared/listings/224/2245831/6a010507-9ad3-4809-bc23-b3144d2596c2-W336.png,
88,Reputable Butcher Shop Business for Sale near Ottawa,Carleton Place ON,"Butcher shop in prime Carleton Place location beside other successful businesses and with lots of parking. The butcher shop has attractive storefront and stellar reputation for exceptional quality,...",750000,,https://www.bizbuysell.com/Business-Opportunity/reputable-butcher-shop-business-for-sale-near-ottawa/2208354/,https://images.bizbuysell.com/shared/listings/220/2208354/f0d06d21-7f25-430b-9327-32b3026aa9c0-W336.jpg,
89,Manufacturer of Racking Systems for IT and Servers,toronto ON,"This manufacturer designs and fabricates racking and cabinetry systems across Canada and the United States. Established in Toronto for over 50 years, this fabrication business has experienced...",4200000,1410581,https://www.bizbuysell.com/Business-Opportunity/manufacturer-of-racking-systems-for-it-and-servers/2279217/,https://images.bizbuysell.com/shared/listings/227/2279217/8cf5a82f-2770-4f41-9201-67fd100b039a-W336.jpg,3.0
91,Established Manufacturing Business -- Machine Shop,Toronto ON,"Long established Canadian manufacturing business operating as a machine shop, designing and manufacturing metal components for the plastic molding industry. Owner is currently looking forward towards...",750000,254000,https://www.bizbuysell.com/Business-Opportunity/established-manufacturing-business-machine-shop/2277339/,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/manumetal.jpg,3.0
92,Boston Pizza for Sale in a Popular Shopping District,GTA ON,Own a thriving Boston Pizza franchise that is strategically placed in a prime location. The business is renowned in the casual dining sector with a strong presence across Canada. This well-established...,1400000,,https://www.bizbuysell.com/Business-Opportunity/boston-pizza-for-sale-in-a-popular-shopping-district/2277078/,https://images.bizbuysell.com/shared/listings/227/2277078/78a11ac1-d0e2-415b-a5bd-dc1f03d45edf-W336.png,
93,Well Established Outdoor Supplies and Equipment Wholesale / Retailer,Hamilton ON,"This well-established outdoor supplies and equipment business has been serving its community for over 25 years, becoming a go-to source for high-quality yard and garden maintenance supplies and gear....",890000,250000,https://www.bizbuysell.com/Business-Opportunity/well-established-outdoor-supplies-and-equipment-wholesale-retailer/2276928/,https://images.bizbuysell.com/shared/listings/227/2276928/3eeda9c0-da08-4bdc-9b06-2ad86354a334-W336.jpg,3.6
94,Gardening and Hydroponics Retail/Online Business,Ontario,"Here is a great opportunity to own a profitable, well established, very organized “turn-key” business located in a friendly and growing city in Southwestern Ontario. Their primary customers are retail...",1000000,231607,https://www.bizbuysell.com/Business-Opportunity/gardening-and-hydroponics-retail-online-business/2275691/,https://images.bizbuysell.com/shared/listings/227/2275691/a87ee577-1a1d-4d22-acb2-c661b3072f52-W336.jpg,4.3
95,Rare 6 FedEx Linehaul Dedicated Solo Runs,Ontario,"*** make your offer today! *** - Established 25+ years ago. - This is highly stable, highly profitable, proven runs. Great drivers and excellent trucks! - The seller is retiring from the business. - 5...",2250000,495000,https://www.bizbuysell.com/Business-Opportunity/rare-6-fedex-linehaul-dedicated-solo-runs/2275116/,https://images.bizbuysell.com/shared/listings/227/2275116/c8ccb51d-f9eb-49f4-9807-2cd8b9676341-W336.jpg,4.5
96,Fitness Machine Technicians,Available in Canada,Fitness Machine Technicians – a business-to-business and residential international franchise opportunity with the potential for residual income through recurring service-based contracts.,50000,,https://www.bizbuysell.com/franchise-for-sale/fitness-machine-technicians/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/925/977/7b308869-bed9-49b1-a3f6-63d97d4d19d4.jpg,
97,Car Accessories Manufacturer,Ontario,"Well-established turn-key automotive accessories manufacturing business. With a strong reputation and many decades in this field, it has built up fantastic channel partners and a loyal customer base....",1200000,350000,https://www.bizbuysell.com/Business-Opportunity/car-accessories-manufacturer/2224370/,https://images.bizbuysell.com/shared/listings/222/2224370/b8ba1677-29f5-4a71-a2ac-b9ba4678c865-W336.jpg,3.4
98,Profitable & Established Franchise Fitness Studio & Gym In Niagara Reg,Niagara Region ON,Now is the time to join the Most Established and Strongest Performing Fitness Franchise Worldwide We’re turning passion into profits for our franchisees. The business has imbedded itself into the...,350000,125000,https://www.bizbuysell.com/Business-Opportunity/profitable-and-established-franchise-fitness-studio-and-gym-in-niagara-reg/2274717/,https://images.bizbuysell.com/shared/listings/227/2274717/46eb614d-f567-46da-9787-a35d8b41e56c-W336.png,2.8
99,Automated Ai Lending Business In Ontario For Sale,,"$325,000",,,https://www.bizbuysell.com/Business-Opportunity/automated-ai-lending-business-in-ontario-for-sale/2158382/,https://images.bizbuysell.com/shared/listings/215/2158382/5802e46b-586b-42ca-9e50-7933564f737e-W336.png,
100,Profitable Real Estate Digital Media Company In Northern Ontario,Northern Ontario ON,This award winning digital media company operates with close to 25% market share. It is the leader in its segment. Working with only top selling agents. This business is well established in the market...,350000,125000,https://www.bizbuysell.com/Business-Opportunity/profitable-real-estate-digital-media-company-in-northern-ontario/2274707/,https://images.bizbuysell.com/shared/listings/227/2274707/ddeb0142-c9bc-43d9-b9a7-71416bea0790-W336.jpg,2.8
101,Canada’s #1 Artificial Garden Centre with 21% SDE For Sale,Toronto ON,"Pre approved for conditional financing. We help buyers seek financing with a minimum of 10% cash required. This award winning business has been showcased on HGTV, as well as Scott’s Vacation House...",740000,316000,https://www.bizbuysell.com/Business-Opportunity/canadas-1-artificial-garden-centre-with-21-sde-for-sale/2273998/,https://images.bizbuysell.com/shared/listings/227/2273998/115e9bfa-a323-48b4-8da8-23c8f0810bdb-W336.jpg,2.3
102,Get In Shape For Women,Available in Canada,"Get In Shape For Women is an upscale, boutique fitness concept, where 1 trainer works with up to 8 women at a time, for 55 minutes, for as little as $20 per session, delivering the most compelling results in the shortest amount of time. We combine weight training, cardio, nutrition, and accountability for a complete solution.",40000,,https://www.bizbuysell.com/franchise-for-sale/get-in-shape-for-women/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/2574/2689/9d9d1f13-bebf-4c2e-a5d6-3755d9f7cc05.png,
103,Profitable Manufacturing Business — Machine Shop,Toronto ON,"Profitable Canadian business, in operation for decades in the GTA. Designs and produces custom made tool and die components for the metal stamping industry; a turnkey machine/tool shop. The owner is...",600000,220000,https://www.bizbuysell.com/Business-Opportunity/profitable-manufacturing-business-machine-shop/2274248/,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/manumachineshops.jpg,2.7
104,High-End Childrens Clothing E-Commerce Wholesaler 42% SDE,Toronto ON,Pre approved for conditional financing. We help buyers seek financing with a minimum of 10% cash required. This high-end children's clothing e-commerce wholesaler has highly sought after contracts...,549000,197000,https://www.bizbuysell.com/Business-Opportunity/high-end-childrens-clothing-e-commerce-wholesaler-42-sde/2274192/,https://images.bizbuysell.com/shared/listings/227/2274192/99b48222-8157-4384-806f-2ae2c73a6f82-W336.jpg,2.8
105,Premier Women's Fashion Boutique,GTA ON,"Well established and profitable specialty retail business. Catering to a luxury clientele, this business has carved out a niche market located in the heart of GTA's high-end shopping district....",1200000,,https://www.bizbuysell.com/Business-Opportunity/premier-womens-fashion-boutique/2273637/,https://images.bizbuysell.com/shared/listings/227/2273637/c8a9814e-94fc-4e3c-938d-0727facc1e8f-W336.png,
106,Commercial Snow Removal and Property Maintenance Company,GTA ON,"Available for acquisition is an established commercial property maintenance and snow removal business with a proven track record of 9 years of operational excellence, commanding respect in the Greater...",,,https://www.bizbuysell.com/Business-Opportunity/commercial-snow-removal-and-property-maintenance-company/2272451/,https://images.bizbuysell.com/shared/listings/227/2272451/cd8c37d0-e81d-427b-b55e-5b3dfbce7e09-W336.jpg,
107,Solar Energy Systems and Solutions Plus,Devlin ON,"This company designs and installs sustainable Solar Energy Solutions and Systems for both on-grid and off-grid applications, offers Comprehensive Electrical Services from installation to repairs and...",1350000,543675,https://www.bizbuysell.com/Business-Opportunity/solar-energy-systems-and-solutions-plus/2272215/,https://images.bizbuysell.com/shared/listings/227/2272215/b8c9c624-4945-41a6-9cdf-61e17f70e3c2-W336.jpg,2.5
109,Turnkey Salon and Beauty Supply Business with Passive Ownership,Toronto ON,"Seize a profitable investment opportunity with a well-established salon situated in a bustling community hub. This salon has built a strong reputation for excellence, attracting a varied clientele in...",140000,71053,https://www.bizbuysell.com/Business-Opportunity/turnkey-salon-and-beauty-supply-business-with-passive-ownership/2271995/,https://images.bizbuysell.com/shared/listings/227/2271995/7ecc20f0-d440-4f6c-8848-e760d410d690-W336.jpg,2.0
110,Lifestyle Magazine Publisher,Rednersville ON,"High quality lifestyle magazine, published quarterly and offering a unique topic range from art, culture, food and wine to clear and logical analyses of significant world events. The magazine has...",275000,,https://www.bizbuysell.com/Business-Opportunity/lifestyle-magazine-publisher/2271991/,https://images.bizbuysell.com/shared/listings/227/2271991/3898c27c-f591-4944-a732-07a977b75014-W336.jpg,
111,Profitable Established Landscaping/Construction Company 2-3 Year ROI,,"$2,195,000",,,https://www.bizbuysell.com/Business-Opportunity/profitable-established-landscaping-construction-company-2-3-year-roi/2203824/,https://images.bizbuysell.com/shared/listings/220/2203824/e7cc6746-96fa-4324-9c4d-f55192025d8b-W336.jpg,
112,Well-Established Kids STEM Franchisee York Region DOUBLE-DIGIT Growth,Ontario,"Seize the opportunity to own a thriving kids STEM education franchise business in the York Region, boasting over 7 years of successful operation. This well-established company has demonstrated...",295000,90000,https://www.bizbuysell.com/Business-Opportunity/well-established-kids-stem-franchisee-york-region-double-digit-growth/2269866/,https://images.bizbuysell.com/shared/listings/226/2269866/ed48425a-6d4f-45dd-915f-6f8a2bc49990-W336.jpg,3.3
113,Poured-In-Place Rubber Surfacing Company - 15+ year legacy,Niagara Region ON,"Step into a profitable business that specializes in cutting-edge poured-in-place rubber surfacing solutions, with over 15 years of industry success. Renowned for its commitment to customer...",490000,155122,https://www.bizbuysell.com/Business-Opportunity/poured-in-place-rubber-surfacing-company-15-year-legacy/2263640/,https://images.bizbuysell.com/shared/listings/226/2263640/a879ceb6-690c-431c-a5aa-f4e5d44109f9-W336.jpg,3.2
114,FS Cut & Color,Available in Canada,"Unlock Your Future with FS Cut & Color! Join a thriving community of nearly 600 franchises and counting with FS Cut & Color. Leverage our affordable luxury brand, low overhead, and simple operations for a stable investment in the ever-growing hair care industry. Benefit from our cutting-edge POS and color technology, exclusive product lines, and comprehensive franchise support. With thousands of available territories and a proven business model, you can scale your business efficiently. Discover how you can start your journey with FS Cut & Color and achieve entrepreneurial success.",50000,,https://www.bizbuysell.com/franchise-for-sale/fs-cut-and-color/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/2675/2803/d57447ff-273b-44df-969e-2fc491aded95.png,
115,Cannabis retail opportunity,Oshawa ON,Prime Downtown Oshawa Cannabis Business for Sale Don't miss this rare opportunity to own a turnkey cannabis business in the heart of Oshawa! This beautifully designed 1500 sq ft store boasts a...,128000,,https://www.bizbuysell.com/Business-Opportunity/cannabis-retail-opportunity/2250991/,https://images.bizbuysell.com/shared/listings/225/2250991/14afc24a-b137-4846-b2b3-8ee7b4c2170c-W336.jpg,
116,Manufacturer of Prefabricated Sheds & Small Buildings,Windsor ON,"Well established manufacturer of garden sheds, pool houses, and outdoor structures. Located in Southwestern Ontario, this profitable business specializes in design, build and installation of a vast...",1070000,375000,https://www.bizbuysell.com/Business-Opportunity/manufacturer-of-prefabricated-sheds-and-small-buildings/2269552/,https://images.bizbuysell.com/shared/listings/226/2269552/ab1670f6-ffeb-4389-acb1-9e911d011dea-W336.jpg,2.9
117,Highly Profitable Electrical Business in Southern Ontario,Guelph ON,"This business specializes in delivering exceptional electrical solutions tailored to meet the unique needs of high- ticket commercial, industrial, and food processing clients. Operating since 2016,...",3700000,1040000,https://www.bizbuysell.com/Business-Opportunity/highly-profitable-electrical-business-in-southern-ontario/2269434/,https://images.bizbuysell.com/shared/listings/226/2269434/744a6a01-211d-48e1-b380-6bde78c397a1-W336.jpg,3.6
118,Automotive Business For Sale,Toronto ON,"-Centrally located on Weston at Rogers Road -Renowned mechanic shop with successful operation spanning 3 decades -The facility boasts 5 spacious bays, each equipped with 3 x roll-up garage doors and...",169000,,https://www.bizbuysell.com/Business-Opportunity/automotive-business-for-sale/2266074/,https://images.bizbuysell.com/shared/listings/226/2266074/1eedfb1b-ee2c-4027-958d-4877e409f97a-W336.jpg,
119,Trusted supplier and distributor of HVAC products,Vaughan ON,"Tradeia is a well-established supplier and distributor of HVAC products, boasting 17 years of experience in the industry. Our reputation is built on one simple rule: ""take care of the customer"" and...",195000,,https://www.bizbuysell.com/Business-Opportunity/trusted-supplier-and-distributor-of-hvac-products/2265379/,https://images.bizbuysell.com/shared/listings/226/2265379/0586fb6a-ae63-4374-9f93-74f07a725b68-W336.jpg,
120,"Kitchener-Waterloo, ON, Compilations/Tax/Bookkeeping Book of Business",Ontario,"- The owner is NOT a CPA. - Very profitable and well-established tax, bookkeeping and compilation practice with an excellent reputation. - Structure of purchase: Asset Sale - Has been in existence...",1500000,,https://www.bizbuysell.com/Business-Opportunity/kitchener-waterloo-on-compilations-tax-bookkeeping-book-of-business/2264090/,https://images.bizbuysell.com/shared/listings/226/2264090/c3a86dbe-3356-43ec-9088-8a818af4ebef-W336.jpg,
121,"Profitable, Fun, Business opportunity",Cambridge ON,"This is a fantastic opportunity to run your own profitable small business or to add to your already growing corporation. Easy to run, minimal hours with a great team and happy customers....",149000,,https://www.bizbuysell.com/Business-Opportunity/profitable-fun-business-opportunity/2264084/,https://images.bizbuysell.com/shared/listings/226/2264084/121c66e8-b2d3-453a-a277-cc1f85426d35-W336.png,
122,Specialized Certificate Training & Event Agency,Soiuthwestern Ontario ON,"This is a rare opportunity to acquire a specialized training business, known for delivering exceptional learning experiences through seasoned industry-specific educators, making it a leader in its...",1175000,465000,https://www.bizbuysell.com/Business-Opportunity/specialized-certificate-training-and-event-agency/2263765/,https://images.bizbuysell.com/shared/listings/226/2263765/5f12cff6-3985-4014-98e9-b71bf856f566-W336.jpg,2.5
123,Profitable Laser and Medspa Business for Sale,Barrie ON,Highly profitable Laser and Medspa business for sale in Barrie. Located in a desirable building with lots of traffic at the corner of St. Vincent and Cundles. Established cliental with the potential...,225000,,https://www.bizbuysell.com/Business-Opportunity/profitable-laser-and-medspa-business-for-sale/2263602/,https://images.bizbuysell.com/shared/listings/defaultphotos/standard/thumbnails/healthpractices.jpg,
124,Paul Davis Restoration,Available in Canada,Paul Davis has over a 97% success rate for franchises because success is part of our business model!,500000,,https://www.bizbuysell.com/franchise-for-sale/paul-davis-restoration-franchise/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/279/279/c2a40fea-fec4-4f3a-8252-7a9c722420d8.png,
125,Seasonal Mobile Home + Water Park,Southwestern Ontario ON,This is a Confidential Listing: Please Contact the Broker and Not the Business Owner This mobile home and water park is situated in the tranquil scenery and offers a perfect blend of natural beauty...,22500000,1400000,https://www.bizbuysell.com/Business-Opportunity/seasonal-mobile-home-water-park/2248504/,https://images.bizbuysell.com/shared/listings/224/2248504/72fdcd67-3f50-441a-ba34-501962d6bdf3-W336.jpg,16.1
126,The Brick Franchise Store in Cottage Country,Southwestern Ontario ON,THIS IS A CONFIDENTIAL LISTING: PLEASE CONTACT THE BROKER AND NOT THE STORE OR FRANCHISOR This is a rare opportunity to acquire an existing location of The Brick. With the closest franchise store...,3450000,262000,https://www.bizbuysell.com/Business-Opportunity/the-brick-franchise-store-in-cottage-country/2210676/,https://images.bizbuysell.com/shared/listings/221/2210676/0351f0ed-510d-4046-9610-2b5a60305826-W336.png,13.2
127,30+ Year Industrial Distributor & Wholesale,Sarnia ON,"Well established industrial distributor specializing in hose, hose fittings, pipes, fittings, valves and more. Located in Southwestern Ontario, this profitable business distributes industrial goods...",1100000,310000,https://www.bizbuysell.com/Business-Opportunity/30-year-industrial-distributor-and-wholesale/2261324/,https://images.bizbuysell.com/shared/listings/226/2261324/bd170dd3-5557-41da-b4d0-46de2a73bae6-W336.jpg,3.5
128,"Thriving, Highly Profitable Commercial Cleaning Business For Sale",Waterloo Region ON,Pre approved for financing. We help buyers seek financing with a minimum of 10% cash required. This business enjoys consistent & reliable income as well as profits & enjoys an over 41% SDE. This...,3500000,869347,https://www.bizbuysell.com/Business-Opportunity/thriving-highly-profitable-commercial-cleaning-business-for-sale/2258766/,https://images.bizbuysell.com/shared/listings/225/2258766/a150cb6b-8255-42bf-8281-868c24e5b4ba-W336.jpg,4.0
129,Profitable Courier & Delivery Service,Hamilton ON,Are you ready to take over a thriving business with a solid reputation and consistent growth? Look no further! This well-established courier and delivery service is now available for sale. Key...,650000,250000,https://www.bizbuysell.com/Business-Opportunity/profitable-courier-and-delivery-service/2258578/,https://images.bizbuysell.com/shared/listings/225/2258578/15cbbf37-84a1-4349-8150-c0efdf8f5e83-W336.jpg,2.6
131,Pet Food & Supplies - National Franchise In Ontario,West of GTA ON,"Did you ever want to buy a business in the perfect industry with the perfect level of support and guidance? If not, you should stop reading now. If so, let us tell you about this incredible...",449999,,https://www.bizbuysell.com/Business-Opportunity/pet-food-and-supplies-national-franchise-in-ontario/2258478/,https://images.bizbuysell.com/shared/listings/225/2258478/f88193e6-c349-440a-9d08-1a6a4a3e9d5f-W336.png,
132,Established Residential Framing Company with Growth Potential,Toronto ON,"Founded over 25 years ago in the Greater Toronto Area (GTA), this residential framing company specializes in low and mid-rise residential projects. As one of the largest framing companies in Ontario,...",1800000,1800000,https://www.bizbuysell.com/Business-Opportunity/established-residential-framing-company-with-growth-potential/2258055/,https://images.bizbuysell.com/shared/listings/225/2258055/f619b1af-8db9-4ab8-b1a6-f352d4fe2c6a-W336.png,1.0
133,"Profitable Machine Shop, Owner Retiring!!",Ontario,"This outstanding manufacturing business, generating over 2.1 million in revenue and over 600K in cash flow, is a rare opportunity that won’t last long. Operating successfully for over three decades in...",2196300,620000,https://www.bizbuysell.com/Business-Opportunity/profitable-machine-shop-owner-retiring/2257796/,https://images.bizbuysell.com/shared/listings/225/2257796/75e9d33c-4171-4894-8d8c-09936c0cd388-W336.jpg,3.5
134,Highly Rated Pet Grooming/Daycare For Sale,Halton Region ON,Pre approved for financing. We help buyers seek financing with a minimum of 10% cash required. This 4.6 Star Google rated business offers pet grooming & daycare services with ample opportunities to...,599000,169290,https://www.bizbuysell.com/Business-Opportunity/highly-rated-pet-grooming-daycare-for-sale/2257683/,https://images.bizbuysell.com/shared/listings/225/2257683/34f513c5-ae0d-46fa-8548-f16af5d3bbe1-W336.jpg,3.5
135,Earn Big With A Well Established Promotional Printing Business,Toronto ON,"The Opportunity: Unusual opportunity with an average 12% year over year revenue increase with an option that allows for the addition of further locations with a small additional investment, allowing...",400000,165000,https://www.bizbuysell.com/Business-Opportunity/earn-big-with-a-well-established-promotional-printing-business/2214845/,https://images.bizbuysell.com/shared/listings/221/2214845/711cf7ec-7bd9-4697-8b1c-8968ea888804-W336.jpg,2.4
136,Deka Lash,Available in Canada,"Deka Lash is a leading brand in the rapidly growing eye-lash extension segment of the beauty industry. Customers enjoy a premium atmosphere while treating themselves to a quick enhancement of their eyelashes and brows. Our customers rave about their experience and how great they look and feel! Recurring revenue, exceptional training and support, proprietary products, and a highly reputable brand make for an extraordinary business opportunity! Contact Deka Lash now to learn more.",100000,,https://www.bizbuysell.com/franchise-for-sale/deka-lash/?f_irts=false&f_bfssr=1&b_st=ON,https://images.bizbuysell.com/fnw/images/877/928/57a3031f-f6b9-487b-9adf-a92fe898b7a7.png,
137,35 Year Old Bike Shop For Sale- Owner Retiring!!,Mississauga ON,Owner wants to retire after running a successful cycle shop for 35 years. The shop is even older than 35 years and now is part of the community. You can get your investment back in a year. Best google...,90000,79000,https://www.bizbuysell.com/Business-Opportunity/35-year-old-bike-shop-for-sale-owner-retiring/2257125/,https://images.bizbuysell.com/shared/listings/225/2257125/5a0e60d5-68bf-4892-9691-211802aa4660-W336.jpg,1.1
138,Money Making Fitness Studio,Ontario,"Offering dozens of group fitness classes weekly, each designed to address different fitness levels and objectives. Well established, fully staffed with accredited trainers and group leaders. AAA...",440000,130603,https://www.bizbuysell.com/Business-Opportunity/money-making-fitness-studio/2256353/,https://images.bizbuysell.com/shared/listings/225/2256353/c3b1737a-a14d-411b-aa45-df84f1e82ea8-W336.png,3.4
139,Auto wreckers/recyclers/Auto parts store/Auto sales/repair shop,,"$6,900,000",,,https://www.bizbuysell.com/Business-Opportunity/auto-wreckers-recyclers-auto-parts-store-auto-sales-repair-shop/1863274/,https://images.bizbuysell.com/shared/listings/186/1863274/18f16c35-f8db-4f4f-928c-7758499ff54a-W336.jpg,
140,Reputable Senior Homecare Business,West of GTA ON,This is your opportunity to invest in a well trusted provider of professional services tailored to the elderly and their families. This established company specializes in offering a comprehensive...,850000,330308,https://www.bizbuysell.com/Business-Opportunity/reputable-senior-homecare-business/2256142/,https://images.bizbuysell.com/shared/listings/225/2256142/cc067636-98ec-4734-925f-a2843f68bf4b-W336.png,2.6
141,Century Old Heritage Hotel,Ontario,Discover an exceptional business opportunity with this fully restored Heritage Hotel located in a picturesque county on a historic parcel of land. A hotel destination blending Victorian grandeur with...,4700000,270524,https://www.bizbuysell.com/Business-Opportunity/century-old-heritage-hotel/2255890/,https://images.bizbuysell.com/shared/listings/225/2255890/506019eb-d5b4-472e-b44d-d0d0d3e67402-W336.jpg,17.4
143,New High-Tech Hologram Zoo Entertainment - Global Opportunity,Toronto ON,TIME MAGAZINE BEST INVENTION OF 2023 Using brand new technology that has never been seen in entertainment before. You’ve all seen holograms in science fiction movies and TV shows. Now you can be part...,400000,900000,https://www.bizbuysell.com/Business-Opportunity/new-high-tech-hologram-zoo-entertainment-global-opportunity/2255180/,https://images.bizbuysell.com/shared/listings/225/2255180/6746656a-c372-40b2-a83b-d2854afd98c3-W336.jpg,0.4
144,Nationally Recognized Bakery/Distribution Company For Sale,Toronto ON,"Pre approved for financing. We help buyers seek financing with a minimum of 10% cash required. Since 1969, this nationally recognized brand has been delivering high quality breads & baked goods to...",2400000,324092,https://www.bizbuysell.com/Business-Opportunity/nationally-recognized-bakery-distribution-company-for-sale/2254877/,https://images.bizbuysell.com/shared/listings/225/2254877/05e1291e-3821-42ac-b5de-c8bfde9e20bf-W336.jpg,7.4
